,ABVN,AGGHF,AGYTF,AMCT,ASPZ,ATGVF,AWAW,AZTEF,BZRD,CBMDF,CEXPF,DKGH,ECIGQ,ENQUF,EORBF,EXCC,FRTAF,GENH,GIGL,HDYNQ,INTI,JAMGF,KIWB,LDL,LITH,LMDCF,MEDD,MKRYF,MNFSF,MTWD,NEBUW,NECA,NRTHF,NUUU,PPCB,SDXEF,SEDO,SFHI,SMBZF,SRCH,SRSIF,TETHF,TEXC,TODGF,TXIC,UMHL,WSRUF,YRLLF
float,782975,65008480,359772668,33875908,58589108,923626823,57236186,1049041520,129483261,177522173,54030861,3928217,99180650,1439005966,452275761,62374779,114751938,18203576,5706590,29811132,77900376,9425541,537995362,15731484,1580666,33679898,31320378,350341343,102222008,10589998,16188318,5101552372,12875372,36948633,5967109,123089238,27874008,22458920,390472522,211496850,234123604,41459719,10770797,4911743,13358831,42241321,37403212,136566911
cond_2,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,True,True,False,True,True,False,False,False,True,True,True,True,True,True,False
