,AAIIQ,ABVN,AECFF,AEEI,AERN,AFFL,AGGHF,AGYTF,AITA,AJOY,AMLZF,AMNC,AOOO,AOVTF,ARECW,ARYC,AST:LN,ATPGQ,AUMTF,AZGFF,AZNVF,BBUCQ,BLNMF,BXPHF,CCAJ,CCLX,CDID,CDVIQ,CEVE,CGSXF,CHSH,COSLF,CTTC,CWIR,CYBL,DISAW,DKTS,DRIFF,DTEMF,ECIGQ,EGTK,ELGL,EMMD,EMYSF,EORBF,ERGO,ESFS,ESPGY,ESYL,ETCC,EUENF,EXCC,FSHRF,FTBYF,FUTL,GBEI,GGRN,GJST,GLPT,GNPG,GPXM,GRYEF,GSML,GYOG,HLUN,HREEF,HUTN,HYBT,HYFXF,ICAYY,IICN,IMNG,IMUCW,IOFNF,IPLY,ISHI,JADG,JPEX,KALO,KVGOF,LMTI,LOTE,LOUIF,LTDH,LTEC,MADI,MGLG,MHTZF,MKRYF,MLCG,MPHMF,MRES,MSTF,MTRT,NBRY,NEBUW,NICMF,NLMP,NRTSF,NUGN,NVES,NXGM,OTMN,PBEV,PEYTF,PGUZ,PLWY,PROT,PWLK,PXYN,RADR,RBMTF,RBSY,RGST,RLLCF,RNVAW,RYMM,SAKL,SCDA,SCNG,SDCJF,SDGB,SGLRF,SIII,SKTO,SLCO,SNOAW,SNTW,SPEC,SRTI,STEV,TAER,TAMG,TAUX,TEUCF,THWWW,TLLEQ,TRBX,TRKR,TSRR,TWAC,UNIV,UOMO,VOIS,VRED,VTNA,WECT,XCPT,YSGG,YWRLD,ZIPL,ZWZZT
volume,584,5500,100,300,37075,15000,18166,3100,250,325308,0,250,70000,86499,1,1147000,56568,1000,0,244000,38010,1000,2166,34625,2763578,10440,545,111241,28,375,2308953,18573,30000,493750,612933210,704,0,0,5156,10150,587137,55000,0,100,526282,503164,263,15161,4000,1837,12000,15100,4500,10065,2052328189,47333,60000,0,1189,2598767,160000,47500,1000,3107994,44463,191600,0,30000,3000,625,450,3,937,18500,1200,0,0,207399414,0,50000,10000,6356331,10000,0,350,1431047,0,1000,3162456,12840,1200,14268353,0,1538388,12508,627243,5600,0,3370917,320050,50,10000,2387,300,439,459700,0,0,77591864,0,0,553,6000,898,78869023,55702,85908,400,0,213360,140,500,299838,0,2651426,0,201079,19,0,350,16498535,0,36350,378,2454,9200,138976,25000,60000,49995,85,8332,3000,165759997,88000,0,1353358,6000,859,6030,1361,133430
cond_4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
predicted intraday volume,2336,22000,400,1200,148300,60000,72664,12400,1000,1301232,0,1000,280000,345996,4,4588000,226272,4000,0,976000,152040,4000,8664,138500,11054312,41760,2180,444964,112,1500,9235812,74292,120000,1975000,2451732840,2816,0,0,20624,40600,2348548,220000,0,400,2105128,2012656,1052,60644,16000,7348,48000,60400,18000,40260,8209312756,189332,240000,0,4756,10395068,640000,190000,4000,12431976,177852,766400,0,120000,12000,2500,1800,12,3748,74000,4800,0,0,829597656,0,200000,40000,25425324,40000,0,1400,5724188,0,4000,12649824,51360,4800,57073412,0,6153552,50032,2508972,22400,0,13483668,1280200,200,40000,9548,1200,1756,1838800,0,0,310367456,0,0,2212,24000,3592,315476092,222808,343632,1600,0,853440,560,2000,1199352,0,10605704,0,804316,76,0,1400,65994140,0,145400,1512,9816,36800,555904,100000,240000,199980,340,33328,12000,663039988,352000,0,5413432,24000,3436,24120,5444,533720
