,ABETF,AGGHF,AGYTF,ALTMW,BEAG,BLKCF,ECIGQ,FSAM,GADS,GNOW,IKNX,MFST,MRRCF,NEBUW,SUWN,TLOG,XELAU,YRLLF
float,37555498,65008480,359772668,3010580,36633931,122212983,99180650,17742054,219220044,6666743,872590,105067297,197325653,16188318,189459515,21769052,35500409,136566911
cond_2,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,True,False
