,ABTI,ABVN,ADYX,AGGHF,AGYTF,ALME,BGLC,CESX,CHAEF,CNCC,COSG,CPAI,CRFQF,CVHIF,DGJI,ECIGQ,EVARF,EVRRF,GLAE,GSTX,HGLD,IMHC,JGHG,LBLTF,LDL,LITH,LXAM,NEBUW,NOBDF,NWSTF,RDTMF,RLLCF,RLLVF,RMISF,RONWF,SLVMF,SNRAF,SPIN,TLOG,TOKIF,TXSP,ULTRF,VBVT,VELXF,VRSEF,WOFA,WSHE,ZMSPF
float,115133299,782975,1029853,65008480,359772668,1697051,60237970,10075480,1901422459,42063126,4004147,35386822,35254064,37012960,21585714,99180650,19591544,77923331,17427,97804261,171609238,32029174,3514296,43880149,15731484,1580666,14881017,16188318,48190396,297366482,118957847,8219969442,199652862,4584710,7612149,882724498,10923491,11665023,21769052,194749041,43549632,21379624,354691,14764157428,88865735,2159311,230686557,151131109
cond_2,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,False,True,True,True,False,False,False,False,True,True,False,True,True,True,False,True,True,False,False,False,True,False,False
