,ABETF,AGGHF,AGYTF,AIXN,AMEFF,ATVK,AUUDW,AWAW,BAJFF,BLAB,BRYN,BTGN,CJRCF,CLCMF,COSG,COUV,CTTC,DUUO,ECIGQ,EOFBF,EORBF,ERGO,ETCC,EXPL,FGCO,GADS,GPXM,HDYNQ,HREEF,LITH,MAXD,MBGNF,MDIT,MRIN,NEBUW,NUSMF,NWFAF,OZYMF,PXPP,PYBX,QRMLF,RETC,SEKZF,SGXXF,SIII,SNAVF,SRSCQ,STCB,SVLT,TCNT,TIPS,TLSMF,TRIQ,TRRFF,TRUHY,VEII,WINTW,WSHE,YUANF
float,37555498,65008480,359772668,17161963,39815441,64874451,8127913,57236186,21044485,5219213,51266260,40113,2183215508,334195770,4004147,443794451,18206542,25902467,99180650,123700150,452275761,22639007,4776059,24220192,23027674,219220044,447034584,29811132,177120872,1580666,5636056917,9189186,17311807,9861712,16188318,348195541,1973307305,26377994,15300075,85318,93729089,598530745,84427317,1254804323,14843780,605713172,79220070,45918447,29335080,229969,84673282,119908795,7126484,39191345,88389817,17385314,13649735,230686557,5905396
cond_2,True,False,False,True,True,False,True,True,True,True,True,False,False,False,True,False,True,True,False,False,False,True,True,True,True,False,False,True,False,False,False,True,True,True,True,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,True,False,True,True,False,True
