ticker,percent change(%)
AAIIQ,81.818
ABVN,84.23
AECFF,544.444
AEEI,59.9
AERN,400.0
AFFL,100.0
AGGHF,224.675
AGYTF,12005.263
AITA,253.453
AJOY,51.667
AMLZF,260.0
AMNC,199.75
AOOO,150.0
AOVTF,150.0
ARECW,90.323
ARYC,200.0
AST:LN,2025.0
ATPGQ,290.769
AUMTF,75.862
AZGFF,135.0
AZNVF,76.0
BBUCQ,164.706
BLNMF,175.0
BXPHF,80.0
CCAJ,64.5
CCLX,101.068
CDID,736.667
CDVIQ,60.87
CEVE,89.552
CGSXF,1900.0
CHSH,50.0
COSLF,82.5
CTTC,106.612
CWIR,190.0
CYBL,50.0
DISAW,50.602
DKTS,100.0
DRIFF,59.275
DTEMF,540.0
ECIGQ,400.0
EGTK,53.333
ELGL,87.5
EMMD,1250.0
EMYSF,525.0
EORBF,200.0
ERGO,61.833
ESFS,149.231
ESPGY,218.182
ESYL,64.286
ETCC,58.014
EUENF,150.0
EXCC,60.976
FSHRF,2976.316
FTBYF,194.2
FUTL,57.143
GBEI,55.172
GGRN,300.0
GJST,81.25
GLPT,65.692
GNPG,60.0
GPXM,200.0
GRYEF,110.526
GSML,70.0
GYOG,100.0
HLUN,70.732
HREEF,107.143
HUTN,275.0
HYBT,62.5
HYFXF,383.333
ICAYY,208.594
IICN,87.425
IMNG,69.811
IMUCW,133.333
IOFNF,60.0
IPLY,53.462
ISHI,125.9
JADG,64.062
JPEX,52.941
KALO,400.0
KVGOF,100.0
LMTI,50.15
LOTE,70.0
LOUIF,92.5
LTDH,587.328
LTEC,75.829
MADI,329.302
MGLG,900.0
MHTZF,87.5
MKRYF,1525.0
MLCG,217.965
MPHMF,521.875
MRES,66.197
MSTF,9900.0
MTRT,681.25
NBRY,57.895
NEBUW,54.858
NICMF,234.0
NLMP,321.053
NRTSF,84.211
NUGN,72.414
NVES,72.941
NXGM,79.2
OTMN,302.857
PBEV,94.068
PEYTF,357.143
PGUZ,56.347
PLWY,625.0
PROT,100.0
PWLK,157.143
PXYN,100.0
RADR,161.07
RBMTF,19900.0
RBSY,60.0
RGST,58.519
RLLCF,908.511
RNVAW,134.921
RYMM,64.286
SAKL,150.0
SCDA,85.429
SCNG,60.0
SDCJF,450.0
SDGB,65.714
SGLRF,66.667
SIII,1100.0
SKTO,9900.0
SLCO,100.0
SNOAW,81.818
SNTW,284.127
SPEC,183.333
SRTI,115.385
STEV,71.429
TAER,167.391
TAMG,80.165
TAUX,148.0
TEUCF,384.33
THWWW,75.0
TLLEQ,101.064
TRBX,350.0
TRKR,51.351
TSRR,84.146
TWAC,54.0
UNIV,69.688
UOMO,50.0
VOIS,55.556
VRED,100.0
VTNA,230.397
WECT,173.86
XCPT,135.294
YSGG,189.017
YWRLD,301.131
ZIPL,83.724
ZWZZT,778.571
