,EXPL,DUUO,ATVK,STCB,AWAW,VEII,AGYTF,LITH,WINTW,FGCO,BAJFF,MAXD,TRUHY,SVLT,CTTC,HDYNQ,EOFBF,ERGO,AUUDW,SIII,TCNT,TRIQ,WSHE,BRYN,MBGNF,MRIN,ABETF,CLCMF,NUSMF,YUANF,AMEFF,TIPS,SEKZF,TLSMF,TRRFF,BLAB,BTGN,PXPP,COSG,COUV,GADS,ECIGQ,SNAVF,SGXXF,AIXN,ETCC,MDIT,HREEF,OZYMF,QRMLF,AGGHF,NEBUW,NWFAF,GPXM,RETC,SRSCQ,PYBX,EORBF,CJRCF
float rotation,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.07,0.0,0.01,0.0,0.0,0.0,0.11,0.46,0.0,0.0,0.0,0.0,0.02,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.15,0.0,0.0,18.75,0.0,62.0,0.0,0.0
cond_5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True
