ticker,percent change(%)
AAN-W,-13.946
AAUGF,-14.133
ABRUF,-34.965
ABWN,-20.0
ACNI,-50.0
ACUS,-10.714
ADFS,-26.027
ADPAS,-33.333
ADST,-99.0
ADTC,-90.0
ADXDF,-50.0
AEXFF,-36.957
AGGG,-34.382
AGOAF,-53.462
AGRO,-10.026
AGTT,-95.0
AHAG,-16.667
AHROQ,-99.833
ALAN,-24.348
ARGQ,-10.714
ARTLW,-11.595
AUXRD,-17.965
AXMM,-50.0
BAYP,-30.0
BMEA,-12.331
BNTCW,-48.235
BTRSW,-17.485
CACH,-15.789
CAMP,-11.732
CCC-WS,-32.157
CHNGV,-13.613
CIVBP,-48.328
CLKKF,-69.889
CLNNW,-12.971
CRGP,-10.0
CRRTQ,-28.571
CRRVF,-10.0
CRSM,-15.126
CYRXW,-30.33
DECN,-52.941
DREXF,-25.792
DWTIF,-58.333
EDRY,-10.586
EMPM,-14.117
ENGH,-12.857
EQUI,-21.429
ESNC,-32.162
EUOT,-12.5
EVI,-12.466
EVSV,-10.678
EWLL,-14.286
EXSFF,-11.917
EYEGW,-14.384
FERL,-20.616
GATA,-11.963
GAZZF,-17.778
GBSNQ,-44.444
GIGA,-16.121
GIXRT,-11.606
GLBS,-26.534
GPAQW,-20.864
GRAPQ,-31.764
GROY,-12.162
GRPAF,-31.741
GSFVF,-66.667
HYCT,-90.833
HYYWF,-81.429
ICLD,-12.5
IDEA,-13.849
IMTL,-12.963
IPSC,-10.948
IRS-WS,-19.915
IVDA,-10.169
KPAY,-18.966
LOOP,-11.987
LTCN,-12.714
LTTGF,-28.205
MCDA,-22.0
MDGSW,-11.274
MEIL,-15.278
MOXC,-12.283
MPHYF,-23.212
MTFBW,-10.256
NACG,-12.903
NBDR,-47.368
NDMWF,-22.481
NMTR,-11.111
NSVGF,-13.33
NTAH,-60.0
NVTRQ,-25.0
OMP,-15.61
OPP-R-W,-66.134
PACDQ,-15.326
PCTTW,-10.571
PIRE,-64.286
PRCF,-14.286
PRDL,-14.286
QES,-15.655
RAIL,-11.944
RASFQ,-25.948
RASGQ,-60.428
RASJQ,-38.25
RECAF,-17.576
REPX,-22.262
RETC,-11.053
RGSEQ,-16.667
RMG-U,-19.885
RMO-WS,-23.856
RNGR,-11.517
ROSEQ,-90.358
RPAYW,-76.489
RTIX,-30.989
SGLBW,-20.681
SHIPW,-10.888
SHIPZ,-10.781
SMPP,-25.094
SOFI,-11.356
SPGS-WS,-11.486
SQM-R-W,-31.111
SUIC,-21.958
SWBIV,-19.737
THCT,-16.978
TNMD,-23.186
USGD,-19.059
USRI,-40.323
VBIO,-15.0
WDEXF,-15.568
WGKFF,-24.658
WKLDF,-13.187
WRLSU,-36.34
WWCC,-21.437
WWRL,-24.39
WYPH,-55.333
XCPT,-48.5
XFCH,-50.0
XYNH,-20.0
YTOEF,-13.194
ZNAE,-61.031
ZVO,-10.561
