,ABVN,AEEI,AGGHF,AGYTF,AITA,ARYC,AUMTF,AZNVF,BXPHF,COSLF,CTTC,DRIFF,DTEMF,ECIGQ,EMMD,EMYSF,EORBF,ERGO,ESPGY,ETCC,EUENF,EXCC,FSHRF,FTBYF,FUTL,GPXM,HREEF,HYBT,HYFXF,ICAYY,IMUCW,IOFNF,JADG,JPEX,KALO,LOUIF,LTDH,MHTZF,MKRYF,MLCG,MPHMF,NEBUW,NICMF,NRTSF,NUGN,NXGM,RBMTF,RLLCF,RNVAW,RYMM,SCDA,SIII,SNTW,TEUCF,TRKR,VOIS,VTNA,WECT
float,782975,14922783,65008480,359772668,15499845,627093046,1172857064,176558814,742176534,135602842,18206542,16137230,91755523,99180650,20000000,9877280,452275761,22639007,678948725,4776059,16686635,62374779,1043706430,27407544,6377309395,447034584,177120872,62422894,785237872,117879908,4181463,163589990,3728519,173769153,518025059,844793265,20719889,1081911844,350341343,23003463,32424706,16188318,1331984536,78228559,8203552,9345092,73273015,8219969442,986078,226779840,1488614,14843780,15296419,2476831,1892349554,38841321,102452694,432130323
cond_2,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,True,True,False,False,True,True,False,False,False,False,False,True,True,True,False,True,False,False
