,ABVG,ABVN,ACAI,AECFF,AERN,AESO,AFFL,AFML,AGGHF,AGYTF,AMCT,AMFL,AMHV,AMLC,AMNP,AMPYW,ANTI,ASCBQ,ASPZ,AST:LN,ATGVF,AUTR,AVIX,AWAW,AWEB,AZTEF,BERI,BZRD,CBMDF,CBSC,CCYPQ,CEXPF,CFRI,CGNMF,DKGH,ECIGQ,EFLI,EGKPF,EMEXF,EMRH,ENQUF,EORBF,EPGC,EXCC,FLOD,FMBV,FRTAF,FSPM,FZRO,GAFL,GAMN,GENH,GFGU,GIGL,GWTR,GYSN,HDYNQ,HLUN,HOKUQ,HTHL,INSD,INTI,IPLY,IPWG,IWAL,JAMGF,KIWB,KNKT,LDL,LITH,LMDCF,LSKA,LUSI,LVWD,MCELQ,MEDD,MEGH,MENC,MKRYF,MNFSF,MRPT,MTWD,NEBUW,NECA,NORNQ,NRTHF,NUUU,NUVM,ONTRF,PHMB,PPCB,PSSS,PSWW,PYDPF,QLIS,QMIS,RDOIF,REAC,RVLTF,SDCJF,SDXEF,SEDO,SESI,SFHI,SGBH,SGTN,SMBZF,SNOAW,SPQDF,SRCH,SRSIF,SRTI,SSTT,SYUP,TAER,TETHF,TEXC,TODGF,TPNI,TXIC,UMHL,USBC,VDXI,VEST,VPSN,WSRUF,XCPT,XRXH,YRLLF,YWRLD,ZIPL,ZWZZT
volume,71291666,5500,136,100,37075,52599,15000,59875,18166,3100,6400,235452,171,2000,44900,675,3100,100,5356,56568,500,86825,180,100,5002,1000,209365,5500,1590,160,1130,122030,3646500,2800,58999,10150,25101,102429,600,25500,10000,28800,3200,4866,3000,1000,0,0,480799,44583,49990,11367,65000,7300,283960,100,55639,754501,27090,4,8600,176218,432461,12883255,31036609,1040,4858776,36035,122473,10026,3550,40700,850067,550,1661307,10711,1,100,423064,61550,97831,5000,627243,926634804,2352,151,209417645,1708438,600,10200000,3404678,100,15797290,10000,1400,382,54284,1,283399,140,1000,18326,400432,805,4000,1000,133500,201079,124,13994,21000,350,9502,191300,494250,13000,709,4309,300000,3611,5000,4,6,2003,1846234,500,6000,7070,646870,6030,1361,133430
cond_4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
predicted intraday volume,285166664,22000,544,400,148300,210396,60000,239500,72664,12400,25600,941808,684,8000,179600,2700,12400,400,21424,226272,2000,347300,720,400,20008,4000,837460,22000,6360,640,4520,488120,14586000,11200,235996,40600,100404,409716,2400,102000,40000,115200,12800,19464,12000,4000,0,0,1923196,178332,199960,45468,260000,29200,1135840,400,222556,3018004,108360,16,34400,704872,1729844,51533020,124146436,4160,19435104,144140,489892,40104,14200,162800,3400268,2200,6645228,42844,4,400,1692256,246200,391324,20000,2508972,3706539216,9408,604,837670580,6833752,2400,40800000,13618712,400,63189160,40000,5600,1528,217136,4,1133596,560,4000,73304,1601728,3220,16000,4000,534000,804316,496,55976,84000,1400,38008,765200,1977000,52000,2836,17236,1200000,14444,20000,16,24,8012,7384936,2000,24000,28280,2587480,24120,5444,533720
