ABLE,ABMT,ABVN,AECFF,AEEI,AERN,AFFL,AGGHF,AGYTF,AMCY,AQSP,AST:LN,AVHHL,AXLX,AZIL,BGNRF,BKMP,BLIBQ,BPMI,BSSP,CAPP,CHNO,CIAS,CLHI,CLRYF,CMGO,CMNR,CYBBF,CYGT,CYRLY,DEER,DLYT,DMNKF,DRNG,ECIGQ,EKPTF,EOSC,ESNC,EVVRF,FIND,FIRRF,FQFC,FREEF,FTXP,GARLF,GEIN,GHMP,GSPT,GUESF,HAFG,HYBOF,IAGX,JJTFF,KCPC,KIRY,KMGLF,LGBI,LIFS,LITH,LOCMQ,LYJN,MOMT,MRES,MRPT,MRRCF,MSITF,NEBUW,NGRC,NHCMF,NHLG,NSLPQ,NTRU,ONXC,OODH,ORPH,OTOW,OXIHF,OZYMF,PNBC,PRCNF,RAYT,RCCMF,RINO,ROCRW,SDCJF,SDVI,SEDN,SIXD,SNGY,SNOAW,SOHOF,SPOI,SRTI,SSOF,SSTRF,STIE,UBSFF,VBIZF,VINO,VPSN,VYEY,WWHC,XCPT,YWRLD,ZCBD,ZWZZT
5000,16175,5500,100,300,37075,15000,18166,3100,1164,32421,56568,358,4030400,550,0,950000,150,1921,2119195642,275,3640,500000,897193,176572,43255960,79600,297,9000,10,3000,0,25700,346431312,10150,356800,46500,329785,12873,3000,2500,11002,146402,1182271175,100,43654,36730,311105,120000,1671,103000,760300,1155,0,200,374,39921144,0,1650,6400,3000,3379,33463530,9265,386060,100000,627243,7029,1000,17000,3477,16988,7010,8916862,166638037,100,938888,310464,317972,7000,2000,70375,6002,730158,140,1500554960,200,6374,12649,201079,170867,121466773,350,76622418,20027,20000,108,220,26638424,11100,15500,109,6000,6030,443,133430
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
50000,161750,55000,1000,3000,370750,150000,181660,31000,11640,324210,565680,3580,40304000,5500,0,9500000,1500,19210,21191956420,2750,36400,5000000,8971930,1765720,432559600,796000,2970,90000,100,30000,0,257000,3464313120,101500,3568000,465000,3297850,128730,30000,25000,110020,1464020,11822711750,1000,436540,367300,3111050,1200000,16710,1030000,7603000,11550,0,2000,3740,399211440,0,16500,64000,30000,33790,334635300,92650,3860600,1000000,6272430,70290,10000,170000,34770,169880,70100,89168620,1666380370,1000,9388880,3104640,3179720,70000,20000,703750,60020,7301580,1400,15005549600,2000,63740,126490,2010790,1708670,1214667730,3500,766224180,200270,200000,1080,2200,266384240,111000,155000,1090,60000,60300,4430,1334300
