,AGGHF,CPAI,NEBUW,RLLCF,EVARF,HGLD,RONWF,SNRAF,CESX,COSG,LDL,RDTMF,TLOG,RMISF,TOKIF,TXSP,SLVMF,CNCC,LBLTF,AGYTF,BGLC,CHAEF,EVRRF,NOBDF,ABVN,JGHG,LITH,SPIN,ULTRF,WOFA,VELXF,WSHE,ECIGQ,ZMSPF,IMHC,GLAE,CVHIF,DGJI,ABTI,GSTX,CRFQF,VBVT,VRSEF,ALME,RLLVF,LXAM,ADYX,NWSTF
float rotation,0.0,0.0,0.39,0.04,0.0,0.0,0.05,0.01,0.0,0.0,3.54,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.0,0.01,0.06,0.02,2.87,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23,0.0,0.0,0.03,0.0
cond_5,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
