,ABETF,ADTY,AEDC,AERN,AGGHF,AGYTF,ALTMW,AST:LN,BEAG,BLKCF,CCGM,ECIGQ,FRONW,FSAM,GADS,GNOW,IKNX,ISOL,LPHM,MFST,MRRCF,NEBUW,NMOC,SDCJF,SNOAW,SRTI,SUWN,TLOG,UNSS,XELAU,XTNTW,YRLLF,YWRLD,ZENG,ZULU
volume,5000,100,300,37075,18166,3100,159195,56568,10271,1207100,10955,10150,3001,3001,2450,30600,12967587,9131,94276,1092572867,3230,627243,30000,140,201079,350,90553,2000,7800,900,22722,186430,6030,77777,1300
cond_4,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
predicted intraday volume,20000,400,1200,148300,72664,12400,636780,226272,41084,4828400,43820,40600,12004,12004,9800,122400,51870348,36524,377104,4370291468,12920,2508972,120000,560,804316,1400,362212,8000,31200,3600,90888,745720,24120,311108,5200
