,AEEI,AITA,FSHRF,ETCC,EORBF,IOFNF,LTDH,COSLF,WECT,HREEF,AUMTF,KALO,JPEX,AGYTF,NICMF,FUTL,AGGHF,SCDA,ABVN,NUGN,EMMD,ERGO,SNTW,SIII,NRTSF,DTEMF,MKRYF,CTTC,BXPHF,FTBYF,RYMM,GPXM,HYBT,NEBUW,ECIGQ,EXCC,HYFXF,VTNA,AZNVF,EMYSF,LOUIF,RBMTF,TEUCF,MLCG,RLLCF,IMUCW,VOIS,TRKR,ICAYY,EUENF,RNVAW,ARYC,MHTZF,ESPGY,DRIFF,MPHMF,NXGM,JADG
float rotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,4.77,0.0,0.0,1.29,0.0,0.0,0.03,0.16,0.0,0.09,0.0,0.0,0.17,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,17.07,0.0,0.0,0.0,0.23,0.01,0.0,0.0,0.0,0.0,0.0,0.0
cond_5,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
