,EORBF,ASPZ,AZTEF,AWAW,AGGHF,ENQUF,DKGH,KIWB,SRSIF,ATGVF,CEXPF,NEBUW,FRTAF,MKRYF,NRTHF,GIGL,CBMDF,HDYNQ,GENH,WSRUF,MEDD,TXIC,AMCT,TODGF,SRCH,JAMGF,SFHI,ECIGQ,NUUU,MNFSF,LMDCF,MTWD,PPCB,BZRD,UMHL,SEDO,LDL,TEXC,INTI,TETHF,SMBZF,NECA,ABVN,AGYTF,EXCC,LITH,YRLLF,SDXEF
float rotation,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.0,0.0,0.01,0.15,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.67,0.0,0.0,0.0,2.28,0.0,0.0,0.0,0.03,0.0,0.01,0.0,0.0,0.73,0.03,0.0,0.0,0.03,0.02,0.0
cond_5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
