,CYRLY,FIND,KMGLF,ESNC,ABMT,AVHHL,SIXD,FIRRF,SOHOF,RSLS,AGYTF,VYEY,DLYT,LITH,AEEI,MTP,HYBOF,ROCRW,AQSP,MOMT,EKPTF,ECIGQ,DMNKF,KIRY,NTRU,AGGHF,APOP,CYBBF,CMGO,GHMP,VBIZF,NEBUW,MRRCF,RCCMF,UBSFF,CAPP,ABVN,GARLF,EVVRF,FQFC,FTXP,OZYMF,PRCNF,DRNG,RAYT,CLRYF
float rotation,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.08,0.0,0.0,0.0,0.1,0.0,1.32,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.41,0.07,0.0,0.15,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,47.01,0.05,0.0,11.92,0.0,0.0
cond_5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True
