,ABMT,ABVN,AEEI,AGGHF,AGYTF,APOP,AQSP,AVHHL,CAPP,CLRYF,CMGO,CYBBF,CYRLY,DLYT,DMNKF,DRNG,ECIGQ,EKPTF,ESNC,EVVRF,FIND,FIRRF,FQFC,FTXP,GARLF,GHMP,HYBOF,KIRY,KMGLF,LITH,MOMT,MRRCF,MTP,NEBUW,NTRU,OZYMF,PRCNF,RAYT,RCCMF,ROCRW,RSLS,SIXD,SOHOF,UBSFF,VBIZF,VYEY
float,22087822,782975,14922783,65008480,359772668,3571711,5191915,92898719,29734531,273567808,425805766,1232803689,15043110,257355,117269361,116245700,99180650,1216303396,67654334,1159102077,661467927,573272583,9483537,100588800,4807197,2172285,191078900,11833483,1543834157,1580666,1940498,197325653,9434973,16188318,185072822,24590035,133121192,37286228,198771241,2216950,521074,54951127,1875416323,95891829,839424488,772719
cond_2,True,False,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,False
