ticker,percent change(%)
ABLE,80.0
ABMT,76.211
ABVN,84.23
AECFF,544.444
AEEI,59.9
AERN,400.0
AFFL,100.0
AGGHF,224.675
AGYTF,12005.263
AMCY,263.636
APOP,58.257
AQSP,85.185
AST:LN,2025.0
AVHHL,98.675
AXLX,80.392
AZIL,666.667
BGNRF,3233.333
BKMP,9900.0
BLIBQ,400.0
BPMI,149.545
BSSP,128.571
CAPP,1940.0
CHNO,65.094
CIAS,900.0
CLHI,53.846
CLRYF,380.0
CMGO,58.537
CMNR,80.0
CYBBF,59.091
CYGT,125.0
CYRLY,1800.907
DEER,63.816
DLYT,102.885
DMNKF,53.846
DRNG,60.0
ECIGQ,400.0
EKPTF,100.0
EOSC,151.786
ESNC,54.2
EVVRF,84.0
FIND,51.656
FIRRF,51.22
FQFC,100.0
FREEF,3150.0
FTXP,107.692
GARLF,150.0
GHMP,74.359
GSPT,75.643
GUESF,66.667
HAFG,67.0
HYBOF,119.512
IAGX,131.429
JJTFF,136.364
KCPC,4650.0
KIRY,73.333
KMGLF,80.0
LGBI,78.125
LIFS,4900.0
LITH,900.0
LOCMQ,50.0
LYJN,9900.0
MOMT,149.75
MPACW,175.294
MRES,255.0
MRPT,54.0
MRRCF,111.538
MSITF,9900.0
MTP,50.0
NEBUW,54.858
NGRC,96.667
NHCMF,900.0
NHLG,95.0
NSLPQ,115.385
NTRU,57.6
ONXC,70566.667
OODH,86.111
OTOW,82.571
OXIHF,176.19
OZYMF,69.323
PNBC,274.25
PRCNF,85.714
RAYT,91.118
RCCMF,54.545
RINO,53.333
ROCRW,62.832
RSLS,123.279
SDCJF,450.0
SDVI,66.667
SEDN,322.222
SIXD,73.75
SNGY,98.559
SNOAW,81.818
SOHOF,54.891
SPOI,257.143
SRTI,115.385
SSOF,85.185
SSTRF,190.0
STIE,75.439
UBSFF,52.0
VBIZF,74.419
VPSN,50.0
VYEY,63.632
WWHC,50.943
XCPT,135.294
YWRLD,301.131
ZCBD,129.148
ZWZZT,778.571
